EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,JobInvolvement,PerformanceRating,Attrition
1132,4,1,3,31,Travel_Frequently,Research & Development,25,5,Technical Degree,Female,2,Human Resources,Married,180610,1,14,1,2,10,3,3,0
1133,3,4,2,28,Travel_Rarely,Sales,7,5,Life Sciences,Female,2,Sales Representative,Divorced,171230,5,15,1,2,4,2,3,1
1134,1,1,2,38,Travel_Rarely,Research & Development,9,2,Technical Degree,Male,3,Sales Representative,Single,23720,4,12,0,3,1,2,3,0
1135,3,4,3,35,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,2,Sales Representative,Married,48830,1,18,1,1,10,1,3,0
1136,4,4,3,27,Travel_Rarely,Sales,2,3,Life Sciences,Female,1,Manager,Single,39040,1,15,0,2,7,3,3,0
1137,4,4,3,32,Travel_Rarely,Research & Development,8,1,Medical,Female,2,Research Scientist,Single,46270,8,17,1,2,1,2,3,0
1138,1,4,3,31,Travel_Frequently,Research & Development,2,1,Other,Male,3,Sales Executive,Married,70940,1,14,1,2,10,3,3,1
1139,1,1,2,53,Travel_Rarely,Research & Development,18,3,Medical,Male,1,Research Scientist,Single,34230,6,15,1,4,2,3,3,1
1140,1,3,2,54,Travel_Rarely,Research & Development,14,3,Other,Male,3,Research Scientist,Married,66740,3,17,1,2,4,3,3,0
1141,4,3,3,33,Travel_Frequently,Research & Development,2,4,Medical,Female,4,Sales Executive,Divorced,168800,1,14,3,2,9,3,3,0
1142,1,3,3,43,Travel_Rarely,Research & Development,3,3,Medical,Male,1,Research Scientist,Married,90940,1,12,1,0,10,3,3,0
1143,4,2,3,38,Travel_Frequently,Research & Development,2,5,Medical,Female,4,Sales Executive,Married,84460,0,14,0,3,6,2,3,0
1144,3,2,3,55,Travel_Rarely,Sales,9,3,Marketing,Male,2,Laboratory Technician,Married,119160,4,15,1,3,10,2,3,0
1145,4,4,3,31,Travel_Rarely,Sales,6,3,Other,Male,1,Manufacturing Director,Divorced,45340,1,13,0,2,1,3,3,0
1146,2,1,3,39,Travel_Rarely,Research & Development,4,3,Life Sciences,Male,2,Sales Executive,Single,98520,0,12,1,5,20,2,3,0
1147,4,3,3,42,Non-Travel,Research & Development,10,4,Life Sciences,Female,2,Research Scientist,Single,61510,1,13,1,3,20,3,3,0
1148,3,3,4,31,Non-Travel,Research & Development,14,2,Life Sciences,Male,2,Healthcare Representative,Married,23020,4,14,0,3,11,3,3,0
1149,3,1,3,54,Travel_Rarely,Research & Development,1,3,Medical,Female,2,Human Resources,Single,23620,6,13,1,2,5,4,3,0
1150,2,3,2,24,Travel_Rarely,Research & Development,5,4,Other,Male,1,Manufacturing Director,Single,178610,1,11,2,5,4,1,3,0
1151,4,4,4,23,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,2,Research Scientist,Single,191870,1,11,1,2,5,3,3,0
1152,4,3,4,40,Travel_Frequently,Research & Development,21,3,Medical,Female,3,Research Scientist,Married,197170,1,21,0,1,10,2,4,0
1153,2,2,3,40,Travel_Rarely,Research & Development,8,1,Medical,Female,5,Research Scientist,Married,35440,3,18,3,3,11,2,3,0
1154,3,2,3,25,Travel_Rarely,Sales,20,5,Medical,Female,2,Laboratory Technician,Married,85000,4,12,0,2,2,3,3,0
1155,4,2,2,30,Travel_Rarely,Human Resources,20,4,Life Sciences,Male,2,Research Scientist,Married,46610,1,11,0,3,12,2,3,0
1156,4,3,2,25,Travel_Rarely,Research & Development,7,2,Medical,Male,5,Sales Executive,Divorced,41030,6,15,1,2,2,3,3,0
1157,1,3,3,47,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,2,Sales Executive,Single,42490,2,13,1,2,17,2,3,0
1158,2,3,2,33,Non-Travel,Research & Development,1,3,Life Sciences,Male,2,Research Scientist,Divorced,140260,1,12,0,4,1,3,3,0
1159,4,2,3,38,Travel_Rarely,Research & Development,19,3,Life Sciences,Female,2,Sales Executive,Married,68930,0,17,0,3,15,3,3,0
1160,1,3,3,31,Travel_Rarely,Research & Development,10,4,Medical,Female,3,Sales Executive,Married,61250,0,13,1,3,2,3,3,0
1161,1,3,3,38,Travel_Frequently,Research & Development,1,4,Other,Male,2,Research Scientist,Married,36690,2,19,0,2,8,3,3,0
1162,4,1,2,42,Travel_Rarely,Research & Development,6,3,Medical,Male,2,Laboratory Technician,Divorced,100080,6,19,1,3,4,1,3,0
1163,4,4,3,41,Travel_Rarely,Sales,2,2,Medical,Male,1,Healthcare Representative,Married,23870,3,17,1,1,5,1,3,0
1164,3,2,1,47,Non-Travel,Research & Development,21,2,Medical,Male,1,Sales Executive,Married,46390,0,11,1,2,13,2,3,0
1165,4,3,3,35,Travel_Rarely,Research & Development,4,3,Life Sciences,Male,2,Healthcare Representative,Married,78980,7,15,0,2,2,2,3,0
1166,4,3,4,22,Travel_Rarely,Human Resources,12,1,Human Resources,Male,2,Sales Executive,Single,25340,0,11,0,1,3,3,3,0
1167,2,3,3,35,Travel_Rarely,Research & Development,9,3,Medical,Female,2,Sales Executive,Single,131420,1,25,2,4,10,3,4,0
1168,2,4,3,33,Travel_Rarely,Sales,3,4,Medical,Male,3,Healthcare Representative,Married,16110,0,14,0,2,9,2,3,0
1169,3,2,3,32,Travel_Rarely,Research & Development,3,2,Technical Degree,Male,3,Manufacturing Director,Single,53630,1,13,0,4,6,3,3,0
1170,1,4,2,40,Travel_Rarely,Research & Development,1,4,Medical,Male,2,Research Director,Married,50710,8,17,1,3,1,2,3,0
1171,2,2,3,32,Travel_Rarely,Research & Development,1,2,Medical,Male,3,Sales Executive,Married,136950,0,13,0,3,2,3,3,0
1172,1,4,3,39,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,1,Sales Executive,Single,134020,7,14,1,1,7,3,3,0
1173,2,3,3,38,Travel_Rarely,Sales,20,4,Medical,Female,2,Research Director,Married,20290,3,11,1,3,18,2,3,0
1174,3,4,3,32,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Manager,Married,63770,1,12,2,3,14,3,3,0
1175,3,4,3,37,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,4,Sales Executive,Married,54290,1,17,1,3,16,3,3,0
1176,1,3,2,25,Travel_Rarely,Research & Development,2,4,Medical,Female,2,Manufacturing Director,Divorced,27850,0,21,0,2,5,3,4,0
1177,1,4,2,52,Non-Travel,Research & Development,2,4,Other,Male,1,Manager,Divorced,46140,2,16,1,3,9,3,3,0
1178,2,4,3,44,Travel_Rarely,Research & Development,8,1,Life Sciences,Female,1,Sales Representative,Single,26100,6,15,0,2,4,3,3,0
1179,3,1,3,21,Travel_Rarely,Sales,10,5,Medical,Male,3,Research Scientist,Single,66870,1,19,3,0,2,3,3,0
1180,4,4,2,39,Non-Travel,Research & Development,3,4,Life Sciences,Female,2,Research Director,Single,47240,2,12,1,4,6,4,3,0
1181,4,1,2,23,Travel_Frequently,Research & Development,2,4,Life Sciences,Female,2,Manufacturing Director,Married,61790,1,11,0,3,1,3,3,1
1182,1,4,3,36,Travel_Rarely,Research & Development,24,3,Life Sciences,Female,2,Laboratory Technician,Married,61200,0,19,0,2,9,3,3,0
1183,4,2,3,36,Travel_Frequently,Research & Development,16,1,Medical,Male,2,Sales Executive,Divorced,105960,7,15,0,3,4,2,3,0
1184,3,3,2,56,Non-Travel,Research & Development,8,1,Life Sciences,Male,1,Sales Executive,Divorced,54670,1,20,0,6,13,2,4,0
1185,1,4,4,29,Travel_Rarely,Research & Development,9,4,Medical,Male,2,Sales Representative,Married,29960,9,25,0,4,2,3,4,1
1186,1,3,2,42,Travel_Rarely,Research & Development,17,1,Life Sciences,Male,3,Research Scientist,Married,99980,5,24,2,3,22,2,4,0
1187,4,3,1,56,Travel_Rarely,Sales,10,4,Other,Male,2,Sales Executive,Married,40780,8,24,1,3,10,3,4,1
1188,1,2,3,41,Travel_Rarely,Research & Development,13,4,Life Sciences,Female,1,Healthcare Representative,Married,109200,0,15,1,3,20,4,3,0
1189,4,3,3,34,Travel_Rarely,Sales,1,3,Medical,Female,1,Laboratory Technician,Married,62320,1,13,1,3,8,3,3,0
1190,4,4,2,36,Non-Travel,Sales,1,1,Medical,Female,1,Human Resources,Divorced,132470,1,14,0,3,15,3,3,0
1191,3,2,3,41,Travel_Rarely,Research & Development,1,5,Medical,Male,1,Healthcare Representative,Divorced,40810,2,13,0,3,5,3,3,0
1192,4,1,3,32,Travel_Rarely,Sales,9,4,Life Sciences,Female,2,Research Scientist,Single,57690,1,11,0,3,4,3,3,0
1193,3,4,3,35,Travel_Rarely,Research & Development,16,3,Medical,Female,2,Healthcare Representative,Single,23940,1,16,1,3,9,3,3,0
1194,1,4,3,38,Travel_Rarely,Research & Development,23,3,Medical,Male,3,Sales Representative,Married,39040,1,22,0,3,10,2,4,0
1195,2,3,3,50,Travel_Frequently,Sales,4,2,Life Sciences,Female,2,Laboratory Technician,Divorced,167990,7,14,1,2,6,2,3,1
1196,2,3,2,36,Travel_Rarely,Research & Development,22,4,Life Sciences,Male,1,Healthcare Representative,Married,29500,4,14,0,1,6,2,3,0
1197,4,3,3,45,Travel_Rarely,Sales,24,3,Life Sciences,Male,1,Laboratory Technician,Single,36290,8,16,1,2,5,4,3,0
1198,3,3,3,40,Travel_Rarely,Sales,10,4,Life Sciences,Male,1,Research Scientist,Single,93620,2,11,1,6,2,3,3,0
1199,3,3,4,35,Travel_Frequently,Sales,7,2,Life Sciences,Male,2,Manufacturing Director,Married,32290,1,25,0,2,10,2,4,0
1200,3,3,3,40,Travel_Rarely,Research & Development,17,4,Life Sciences,Male,1,Manager,Married,35780,2,14,1,2,5,3,3,0
1201,3,4,3,35,Travel_Rarely,Human Resources,14,1,Life Sciences,Male,2,Research Scientist,Married,79880,1,18,0,3,4,3,3,0
1202,4,2,3,29,Travel_Rarely,Research & Development,1,3,Medical,Male,3,Sales Executive,Married,42840,4,11,0,5,4,2,3,0
1203,4,1,1,29,Travel_Rarely,Research & Development,5,3,Medical,Male,2,Sales Representative,Single,75530,1,19,0,3,5,3,3,0
1204,4,1,3,50,Travel_Rarely,Research & Development,17,3,Medical,Male,1,Research Scientist,Divorced,173280,4,15,2,1,3,3,3,1
1205,2,4,2,39,Travel_Rarely,Sales,25,3,Medical,Male,2,Sales Executive,Married,197010,0,11,0,3,20,4,3,0
1206,2,1,3,31,Non-Travel,Research & Development,8,4,Life Sciences,Female,4,Sales Executive,Single,147320,0,12,0,3,9,3,3,0
1207,4,3,3,26,Travel_Rarely,Research & Development,11,4,Medical,Male,2,Manager,Single,92780,0,20,0,3,4,3,4,0
1208,3,4,3,36,Travel_Frequently,Research & Development,5,1,Technical Degree,Male,1,Sales Executive,Married,13590,4,12,0,2,5,3,3,0
1209,4,1,3,39,Travel_Rarely,Research & Development,2,1,Medical,Female,1,Research Scientist,Married,47790,4,14,2,3,7,3,3,0
1210,2,2,3,27,Travel_Rarely,Research & Development,8,2,Medical,Male,1,Laboratory Technician,Married,164220,1,20,1,3,6,3,4,0
1211,4,2,2,49,Travel_Frequently,Research & Development,6,1,Medical,Male,3,Healthcare Representative,Married,29960,2,18,1,2,9,2,3,0
1212,2,3,4,34,Travel_Rarely,Sales,4,3,Medical,Female,1,Sales Executive,Married,12610,2,14,1,6,4,3,3,0
1213,2,4,1,41,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,1,Research Scientist,Single,20990,8,12,1,2,6,3,3,1
1214,3,2,3,49,Travel_Frequently,Sales,1,4,Life Sciences,Female,2,Manufacturing Director,Married,58100,1,21,1,2,10,3,4,0
1215,4,3,3,37,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Sales Executive,Single,56470,6,19,0,2,0,3,3,1
1216,4,3,3,33,Travel_Frequently,Research & Development,10,2,Medical,Male,2,Research Scientist,Married,34200,1,14,0,3,8,3,3,0
1217,1,2,3,27,Travel_Rarely,Sales,5,4,Medical,Female,4,Manufacturing Director,Married,44000,9,17,1,3,2,2,3,0
1218,4,4,2,32,Travel_Frequently,Research & Development,9,2,Medical,Female,2,Research Scientist,Single,35000,0,16,1,2,7,2,3,0
1219,3,1,2,59,Travel_Rarely,Sales,2,2,Marketing,Female,5,Sales Representative,Married,20660,4,12,1,3,1,3,3,0
1220,4,3,3,30,Travel_Rarely,Research & Development,11,4,Medical,Male,2,Laboratory Technician,Divorced,171690,1,17,2,2,1,3,3,0
1221,4,3,3,38,Travel_Frequently,Sales,18,4,Life Sciences,Male,2,Healthcare Representative,Single,41620,0,15,1,1,9,3,3,0
1222,3,3,2,36,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,1,Sales Executive,Married,92040,6,23,1,2,7,3,4,0
1223,1,2,3,35,Travel_Rarely,Human Resources,3,4,Human Resources,Male,2,Manager,Married,32940,0,11,0,2,5,3,3,0
1224,4,3,3,29,Travel_Rarely,Sales,29,4,Life Sciences,Male,2,Laboratory Technician,Single,21270,0,11,1,3,9,2,3,0
1225,3,3,2,31,Travel_Rarely,Research & Development,2,2,Medical,Male,2,Laboratory Technician,Divorced,39750,1,15,1,3,5,3,3,0
1226,2,4,3,34,Travel_Rarely,Research & Development,28,3,Technical Degree,Male,1,Laboratory Technician,Divorced,107930,0,11,3,1,2,2,3,0
1227,3,3,3,28,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,5,Research Director,Single,100960,5,13,0,2,4,3,3,1
1228,2,1,3,29,Travel_Rarely,Research & Development,16,2,Life Sciences,Female,4,Laboratory Technician,Divorced,36460,1,14,0,3,10,4,3,0
1229,1,2,2,32,Travel_Rarely,Human Resources,22,3,Human Resources,Female,2,Research Director,Divorced,74460,0,19,0,3,6,3,3,0
1230,4,4,2,22,Non-Travel,Research & Development,8,3,Life Sciences,Female,3,Sales Executive,Divorced,108510,1,16,1,2,1,4,3,0
1231,1,4,3,53,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Manager,Married,21090,2,13,0,3,25,3,3,0
1232,4,4,3,38,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,1,Manufacturing Director,Single,37220,5,14,0,0,3,3,3,0
1233,1,3,2,24,Non-Travel,Research & Development,1,5,Life Sciences,Male,3,Research Scientist,Divorced,93800,0,16,0,2,4,2,3,0
1234,3,1,3,36,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Research Director,Single,54860,7,12,1,2,5,3,3,1
1235,1,2,3,34,Travel_Rarely,Sales,24,3,Marketing,Male,4,Research Scientist,Single,27420,0,11,1,2,12,3,3,0
1236,3,4,3,21,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Manufacturing Director,Single,137570,1,12,1,3,0,3,3,0
1237,2,1,3,34,Travel_Rarely,Sales,15,2,Marketing,Female,2,Research Scientist,Single,84630,2,13,0,2,4,1,3,1
1238,3,3,2,53,Travel_Rarely,Sales,2,1,Life Sciences,Male,5,Human Resources,Divorced,31620,4,15,0,4,14,3,3,0
1239,2,1,3,32,Travel_Frequently,Research & Development,10,3,Medical,Female,2,Manufacturing Director,Single,165980,1,13,0,2,10,3,3,1
1240,3,2,3,42,Travel_Rarely,Research & Development,10,3,Technical Degree,Male,2,Laboratory Technician,Married,66510,0,20,0,5,9,2,4,0
1241,1,4,3,44,Travel_Rarely,Research & Development,3,1,Life Sciences,Female,1,Manufacturing Director,Married,23450,3,15,2,0,22,3,3,0
1242,2,1,2,46,Travel_Rarely,Sales,2,3,Life Sciences,Female,1,Research Scientist,Single,34200,3,13,2,3,2,1,3,0
1243,3,4,3,33,Travel_Rarely,Sales,3,3,Medical,Male,1,Manufacturing Director,Single,43730,4,14,0,3,1,3,3,0
1244,4,4,4,44,Travel_Rarely,Human Resources,26,3,Life Sciences,Male,5,Healthcare Representative,Married,47590,2,21,0,2,4,3,4,0
1245,4,3,3,30,Travel_Rarely,Research & Development,1,4,Technical Degree,Female,1,Research Scientist,Single,53010,1,16,1,3,10,3,3,0
1246,4,4,4,39,Travel_Rarely,Human Resources,1,4,Medical,Male,1,Sales Executive,Married,36730,3,14,1,3,1,3,3,1
1247,2,4,2,24,Travel_Rarely,Human Resources,2,5,Human Resources,Male,3,Sales Executive,Married,47680,2,11,1,2,2,2,3,1
1248,4,3,2,43,Travel_Rarely,Sales,9,5,Technical Degree,Female,1,Research Director,Divorced,12740,1,19,0,3,5,2,3,0
1249,1,3,3,50,Travel_Rarely,Research & Development,12,4,Medical,Male,1,Research Director,Married,49000,1,11,0,3,3,2,3,1
1250,4,4,3,35,Travel_Rarely,Sales,2,4,Marketing,Male,3,Manufacturing Director,Married,104660,1,13,0,1,2,3,3,0
1251,2,1,4,36,Travel_Rarely,Research & Development,25,1,Life Sciences,Female,4,Sales Executive,Married,170070,9,12,1,2,1,2,3,0
1252,3,1,3,33,Travel_Frequently,Sales,9,2,Marketing,Male,4,Human Resources,Married,29090,2,11,0,2,5,2,3,0
1253,3,4,3,35,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Research Scientist,Divorced,57650,1,14,1,2,1,3,3,0
1254,4,1,3,27,Travel_Rarely,Sales,8,2,Marketing,Female,3,Research Scientist,Divorced,45990,1,15,1,3,1,2,3,0
1256,4,3,3,27,Travel_Frequently,Sales,24,3,Life Sciences,Male,4,Healthcare Representative,Single,31720,1,20,1,1,9,3,4,0
1257,3,4,3,30,Travel_Frequently,Research & Development,1,4,Medical,Male,1,Research Scientist,Single,20330,1,14,1,3,12,1,3,0
1258,2,3,3,41,Travel_Rarely,Sales,20,4,Marketing,Male,2,Sales Executive,Married,102090,1,13,1,2,22,3,3,1
1259,2,3,3,34,Non-Travel,Research & Development,7,2,Technical Degree,Female,1,Research Scientist,Single,86200,0,13,1,2,9,2,3,0
1260,2,2,3,37,Travel_Rarely,Research & Development,17,3,Life Sciences,Female,3,Sales Executive,Married,20640,4,16,0,3,1,2,3,0
1261,1,4,3,46,Travel_Frequently,Research & Development,20,3,Technical Degree,Male,3,Sales Executive,Single,40350,4,14,1,2,9,3,3,0
1262,4,4,3,35,Travel_Rarely,Research & Development,8,4,Medical,Female,3,Research Scientist,Married,38380,1,16,1,2,1,3,3,0
1263,1,3,3,48,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,1,Sales Executive,Single,45910,9,16,0,6,1,1,3,1
1264,3,3,2,28,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,25610,1,22,1,3,2,3,4,1
1265,2,1,2,44,Travel_Rarely,Research & Development,1,1,Medical,Female,3,Research Scientist,Divorced,15630,5,12,2,3,4,3,3,0
1266,3,1,3,35,Non-Travel,Research & Development,5,4,Technical Degree,Female,3,Manufacturing Director,Married,48980,2,15,2,2,4,3,3,0
1267,3,4,2,26,Travel_Rarely,Research & Development,4,4,Life Sciences,Female,3,Sales Executive,Married,47890,7,20,1,2,2,3,4,0
1268,1,4,3,33,Travel_Frequently,Sales,29,4,Life Sciences,Female,1,Human Resources,Single,31800,1,14,1,2,15,3,3,0
1269,2,1,2,35,Travel_Frequently,Research & Development,15,3,Medical,Male,3,Manufacturing Director,Married,65490,1,20,0,3,9,3,4,0
1270,3,1,3,35,Travel_Rarely,Human Resources,3,2,Life Sciences,Female,1,Laboratory Technician,Married,63880,3,13,0,6,2,2,3,0
1271,4,4,2,31,Travel_Rarely,Sales,10,2,Life Sciences,Female,2,Research Scientist,Divorced,112440,3,12,1,3,7,3,3,0
1272,1,3,4,37,Travel_Rarely,Sales,4,3,Marketing,Male,4,Human Resources,Divorced,160320,1,13,0,2,7,3,3,0
1273,1,4,3,32,Travel_Rarely,Research & Development,21,3,Other,Male,2,Sales Executive,Married,23620,1,11,0,2,9,3,3,0
1274,4,4,3,38,Travel_Frequently,Research & Development,25,3,Medical,Male,2,Manufacturing Director,Single,163280,1,17,3,2,10,3,3,0
1275,2,3,2,50,Travel_Rarely,Sales,2,4,Marketing,Female,4,Research Scientist,Divorced,83760,5,14,3,2,27,3,3,0
1276,1,1,2,59,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,1,Laboratory Technician,Single,166060,7,11,0,6,21,3,3,0
1277,3,3,3,36,Travel_Rarely,Sales,1,2,Marketing,Female,2,Sales Executive,Divorced,86060,1,14,2,3,17,3,3,0
1278,4,3,3,55,Travel_Rarely,Research & Development,7,3,Medical,Male,3,Research Scientist,Divorced,22720,2,17,1,2,5,3,3,0
1279,2,2,3,36,Travel_Frequently,Research & Development,3,3,Life Sciences,Female,2,Laboratory Technician,Single,20180,1,13,0,5,6,3,3,0
1280,2,1,3,45,Travel_Rarely,Research & Development,1,2,Medical,Female,1,Sales Executive,Divorced,70830,2,12,1,5,1,3,3,0
1281,2,1,2,35,Travel_Frequently,Human Resources,9,3,Other,Female,2,Sales Representative,Married,40840,4,13,1,3,3,3,3,0
1282,4,3,2,36,Travel_Rarely,Sales,7,2,Life Sciences,Male,4,Laboratory Technician,Married,144110,0,18,3,2,1,4,3,1
1283,1,3,2,59,Travel_Frequently,Research & Development,10,4,Life Sciences,Male,3,Research Scientist,Single,23080,7,19,1,4,4,2,3,0
1284,3,2,3,29,Travel_Rarely,Research & Development,28,4,Life Sciences,Female,1,Sales Representative,Married,48410,0,11,0,3,5,3,3,0
1285,3,2,3,31,Travel_Rarely,Research & Development,3,2,Medical,Female,3,Sales Executive,Single,42850,1,21,1,2,1,1,4,0
1286,2,2,3,32,Travel_Rarely,Sales,3,4,Life Sciences,Male,2,Manufacturing Director,Married,97150,1,15,1,1,10,2,3,0
1287,2,4,3,36,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Sales Representative,Married,43200,3,17,0,2,1,3,3,0
1288,3,4,3,31,Travel_Rarely,Research & Development,27,3,Medical,Female,2,Research Director,Single,21320,1,18,0,3,11,3,3,0
1289,3,1,3,35,Travel_Rarely,Research & Development,2,4,Medical,Male,2,Healthcare Representative,Single,101240,0,14,1,2,15,4,3,0
1290,4,1,4,45,Travel_Rarely,Human Resources,14,3,Human Resources,Female,1,Sales Executive,Married,54730,4,13,0,3,0,1,3,0
1291,1,3,4,37,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,3,Sales Executive,Single,52070,4,17,3,3,5,3,3,0
1292,2,2,3,46,Travel_Rarely,Research & Development,9,3,Medical,Male,3,Manager,Divorced,164370,8,15,1,0,4,3,3,0
1293,4,4,2,30,Travel_Rarely,Sales,18,3,Life Sciences,Male,4,Human Resources,Married,22960,1,18,1,2,10,3,3,0
1294,2,3,3,35,Travel_Rarely,Research & Development,20,4,Life Sciences,Female,3,Human Resources,Single,40690,1,13,0,5,6,3,3,0
1295,1,4,3,55,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,2,Laboratory Technician,Married,74410,3,12,1,4,1,3,3,0
1296,2,4,3,38,Non-Travel,Sales,11,1,Marketing,Male,2,Laboratory Technician,Divorced,24300,7,13,2,2,13,4,3,0
1297,1,2,3,34,Travel_Rarely,Research & Development,8,2,Medical,Male,1,Research Scientist,Married,58780,1,14,0,1,5,3,3,0
1298,4,4,2,56,Travel_Rarely,Human Resources,2,1,Medical,Male,2,Sales Executive,Single,26440,4,11,1,2,6,3,3,0
1299,3,1,3,23,Travel_Rarely,Research & Development,10,3,Medical,Male,2,Laboratory Technician,Divorced,64390,3,22,3,2,0,3,4,0
1300,4,4,3,51,Travel_Rarely,Research & Development,29,4,Life Sciences,Female,5,Manufacturing Director,Married,24510,3,17,0,2,4,2,3,0
1301,3,4,3,30,Travel_Rarely,Sales,8,2,Technical Degree,Male,1,Sales Representative,Married,63920,1,21,1,2,11,4,4,0
1302,3,4,3,46,Travel_Rarely,Sales,1,2,Medical,Female,2,Research Scientist,Single,97140,1,22,0,0,9,3,4,1
1303,3,2,2,40,Travel_Frequently,Research & Development,6,3,Medical,Male,1,Healthcare Representative,Married,60770,1,16,2,2,22,2,3,0
1304,3,4,1,51,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,5,Sales Representative,Single,24500,0,12,1,2,10,3,3,0
1305,3,2,2,30,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,1,Manufacturing Director,Divorced,92500,1,12,3,0,11,3,3,0
1306,3,1,2,46,Travel_Frequently,Research & Development,12,1,Medical,Male,1,Laboratory Technician,Married,20740,2,15,1,3,10,3,3,0
1307,2,3,3,32,Travel_Rarely,Sales,15,3,Marketing,Male,1,Research Scientist,Single,101690,1,14,0,6,11,2,3,0
1308,1,3,1,54,Travel_Rarely,Research & Development,25,1,Medical,Female,1,Laboratory Technician,Married,48550,9,25,1,2,4,2,4,0
1309,1,3,2,24,Travel_Rarely,Sales,6,2,Marketing,Male,2,Research Scientist,Married,40870,0,20,3,1,3,3,4,0
1310,2,3,4,28,Non-Travel,Sales,9,4,Medical,Male,2,Laboratory Technician,Married,23670,1,13,0,2,5,2,3,0
1312,2,2,4,44,Non-Travel,Research & Development,23,2,Medical,Female,1,Research Scientist,Married,195860,4,16,0,3,3,2,3,0
1313,3,1,3,37,Travel_Rarely,Human Resources,9,3,Human Resources,Male,2,Healthcare Representative,Divorced,54840,1,17,0,4,3,3,3,1
1314,4,1,3,32,Travel_Rarely,Human Resources,12,2,Human Resources,Female,1,Sales Representative,Single,20610,1,15,1,2,1,2,3,0
1315,4,4,3,20,Travel_Frequently,Sales,4,4,Life Sciences,Female,2,Healthcare Representative,Single,99240,1,22,0,3,1,3,4,1
1316,1,3,3,34,Travel_Rarely,Research & Development,1,4,Other,Male,4,Laboratory Technician,Single,41980,1,22,1,2,16,2,4,0
1317,3,4,4,37,Non-Travel,Sales,24,2,Life Sciences,Male,1,Research Scientist,Divorced,68150,5,20,1,3,1,3,4,0
1318,3,4,3,59,Non-Travel,Research & Development,12,2,Life Sciences,Male,2,Sales Executive,Married,47230,9,14,0,0,3,3,3,0
1319,1,2,2,50,Travel_Frequently,Research & Development,3,4,Medical,Male,4,Research Scientist,Married,61420,3,13,2,3,8,2,3,0
1320,3,3,3,25,Travel_Rarely,Sales,10,1,Marketing,Male,2,Research Director,Single,82370,1,13,0,6,6,2,3,1
1321,4,4,3,25,Travel_Rarely,Research & Development,26,3,Technical Degree,Male,1,Laboratory Technician,Married,88530,1,22,1,3,2,3,4,0
1322,2,4,3,22,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,1,Sales Representative,Single,193310,1,12,1,2,0,3,3,0
1323,1,1,2,51,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,1,Sales Executive,Single,20730,3,14,1,4,13,3,3,0
1324,1,3,3,34,Travel_Frequently,Human Resources,4,4,Life Sciences,Female,5,Sales Executive,Single,55620,1,15,0,3,9,3,3,1
1325,4,4,3,54,Non-Travel,Research & Development,9,3,Life Sciences,Male,1,Laboratory Technician,Single,196130,2,17,0,5,5,3,3,0
1326,2,3,3,24,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,2,Laboratory Technician,Married,34070,0,13,1,4,5,3,3,0
1327,3,2,3,34,Travel_Rarely,Sales,4,3,Marketing,Female,2,Sales Representative,Divorced,50630,6,12,1,2,1,3,3,0
1328,3,4,3,37,Travel_Rarely,Sales,6,1,Technical Degree,Male,1,Laboratory Technician,Single,46390,2,12,2,3,5,3,3,0
1329,3,1,3,34,Travel_Rarely,Sales,9,2,Medical,Male,2,Healthcare Representative,Single,48760,2,21,1,3,11,3,4,0
1330,2,4,3,36,Travel_Frequently,Human Resources,7,3,Medical,Male,1,Research Scientist,Married,26900,0,11,0,1,9,3,3,0
1331,1,4,3,36,Travel_Rarely,Research & Development,1,3,Medical,Female,2,Manufacturing Director,Divorced,175670,5,13,0,6,1,3,3,0
